FileName,Area,BoundingBoxArea,ConvexArea,Eccentricity,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,MaxIntensity,MinIntensity,MeanIntensity,Perimeter,filled_area,solidity,Porosity,Permeability
SD (408).jpeg,1712.857143,16629,11677.71429,0.770509841,78.27096683,-9.694420021,127.7884511,76.77219764,145.4285714,76.57142857,128.0116312,565.4366107,6966.571429,0.720906173,0.158,278.85
TC (1247).jpeg,1325.277778,13004.88889,10768.33333,0.653148235,62.75864349,-24.82706336,110.4307927,65.66817079,176,132.2222222,161.5710947,503.4970696,5318.111111,0.720911605,0.256,336.94
ALB (1222).jpeg,1191.875,9501.7,7686.7,0.813776525,61.54961917,-7.641248648,98.92248088,55.91808062,149.8,108.4,136.750236,460.0313201,4774,0.720913227,0.208,10.23
SD (218).jpeg,1489,14590,12172.375,0.773064856,69.30892207,13.28014343,111.1449844,73.0006983,142.125,76.875,123.0285855,576.3312812,6041.625,0.72091457,0.158,278.85
ALB (2311).jpeg,446.6153846,4172.346154,3494.461538,0.773798069,37.93710489,25.79569348,60.0127443,35.62562832,126.5,88.57692308,112.1388671,285.2088229,1787.230769,0.720936014,0.208,10.23
SD (349).jpeg,1339.722222,11128.44444,9421.666667,0.74967808,50.62069702,22.84866888,84.12843751,63.95333834,143,99.77777778,129.3864457,365.052489,5677.777778,0.72099119,0.158,278.85
TC (1274).jpeg,1997,16486.16667,14598.33333,0.728147039,82.86252592,8.888098251,131.445594,88.46483464,178.8333333,126.6666667,158.0475578,668.0802726,8015.5,0.720997136,0.256,336.94
TC (492).jpeg,738.21875,6361.3125,5032.8125,0.818574209,46.03146271,6.745784899,72.26526344,40.57149281,202.5625,94.375,159.7700739,345.6722491,3005.5625,0.721010949,0.256,336.94
ALB (2264).jpeg,486.3854167,4257.166667,3457.75,0.73977186,39.41294073,7.555081394,58.0519598,37.08139213,126.5833333,88.83333333,112.867882,286.5877689,1945.541667,0.72101856,0.208,10.23
TC (1105).jpeg,1187.925,11011.3,8549.5,0.787541646,62.66672964,-0.203718281,101.8428168,57.24060713,204.6,75.6,157.5870692,488.4479723,4801.4,0.721036232,0.256,336.94
BB (1079).jpg,915.8076923,8561.307692,6468.384615,0.771970884,58.70701886,-12.20342075,91.33241813,55.27579863,223.2307692,64.53846154,170.6026383,366.0101979,3671.384615,0.721047504,0.257,11.3
ALB (1527).jpeg,1083.363636,9968,8529.090909,0.778811768,51.66194051,-10.66486444,81.87934204,54.81828454,149.6363636,121,138.9786157,422.0366913,4402.818182,0.721049724,0.208,10.23
ALB (223).jpeg,3033.0625,23088.5,18455.5,0.797946568,107.895679,23.57246613,164.1666105,91.26512494,190.5,82.5,146.5287824,655.1663056,12164.75,0.721073424,0.208,10.23
ALB (726).jpeg,3033.0625,23088.5,18455.5,0.797946568,107.895679,23.57246613,164.1666105,91.26512494,190.5,82.5,146.5287824,655.1663056,12164.75,0.721073424,0.208,10.23
BB (1145).jpg,277.4085366,2765.414634,2249.804878,0.806474162,26.36774211,9.279761646,43.87774815,24.41129753,223.9512195,138.7560976,195.5141476,230.4286038,1155.829268,0.721081352,0.257,11.3
